candidate_id,rank,score,reasoning
CAND_0077337,1,0.824517,"Staff Machine Learning Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including semantic search, pgvector, pinecone; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0081846,2,0.822352,"Lead AI Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including information retrieval, pgvector, learning to rank; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0071974,3,0.800564,"Senior AI Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including learning to rank, weaviate, pinecone; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0018499,4,0.798823,"Senior Machine Learning Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including weaviate, recommendation systems, pinecone; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0008425,5,0.784369,"Senior NLP Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including learning to rank, qdrant, pgvector; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0036184,6,0.767747,"Recommendation Systems Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including faiss, hugging face transformers, semantic search; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0070398,7,0.759880,"Machine Learning Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including faiss, embeddings, pytorch; meaningful product-company exposure. Concerns: long notice period (120 days)."
CAND_0005260,8,0.758599,"Senior NLP Engineer (5 yrs) with 5-year career in AI/ML roles; relevant skills including information retrieval, semantic search, python; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0066376,9,0.758012,"Applied ML Engineer (6 yrs) with 6-year career in AI/ML roles; relevant skills including recommendation systems, learning to rank, information retrieval; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0083307,10,0.757885,"Search Engineer (8 yrs) with 8-year career in AI/ML roles; relevant skills including embeddings, pinecone, weaviate; meaningful product-company exposure. Concerns: long notice period (120 days)."
CAND_0044855,11,0.752961,"Senior Data Scientist (7 yrs) with 7-year career in AI/ML roles; relevant skills including learning to rank, hugging face transformers, opensearch; strong production deployment evidence in career history. Strong match for JD core requirements with good engagement signals."
CAND_0041610,12,0.749988,"Recommendation Systems Engineer (7 yrs) with 7-year career in AI/ML roles; relevant skills including elasticsearch, opensearch, learning to rank; meaningful product-company exposure. Strong match for JD core requirements with good engagement signals."
CAND_0030827,13,0.748692,"Senior Data Scientist (5 yrs) with 5-year career in AI/ML roles; relevant skills including hugging face transformers, recommendation systems, faiss; meaningful product-company exposure. Concerns: long notice period (120 days)."
